================================================================================
CHUNK NO: 1
================================================================================
[METADATA DETAYLARI]
   - source: Aylik_Satis_Ozet_Ornek_Sablon.xlsx
   - sheet: Satış Özeti
   - file_type: excel
   - permission: user
   - columns_present: ['Ay', 'Bölge', 'Ürün', 'Satış Adedi', 'Ciro (₺)', 'Hedef Ciro (₺)', 'Kâr (₺)']
--------------------------------------------------------------------------------
[İÇERİK]
KAYNAK: Aylik_Satis_Ozet_Ornek_Sablon.xlsx > Satış Özeti
TÜR: Excel Tablosu
İÇERİK:
| Ay      | Bölge      | Ürün   |   Satış Adedi |   Ciro (₺) |   Hedef Ciro (₺) |   Kâr (₺) |
|:--------|:-----------|:-------|--------------:|-----------:|-----------------:|----------:|
| Ocak    | Marmara    | Ürün A |           152 |      96520 |         105221   |  28608.4  |
| Ocak    | Marmara    | Ürün B |           238 |      52360 |          48757.8 |   9487.57 |
| Ocak    | Marmara    | Ürün C |           380 |     250040 |         268352   |  67566.6  |
| Ocak    | Marmara    | Ürün D |           201 |      66330 |          59970.1 |  22816.3  |
| Ocak    | Ege        | Ürün A |           463 |     270855 |         253619   |  50563.5  |
| Ocak    | Ege        | Ürün B |           363 |      80223 |          72314.1 |  12403.5  |
| Ocak    | Ege        | Ürün C |           108 |      76680 |          71151.3 |  15982.3  |
| Ocak    | Ege        | Ürün D |           320 |     124480 |         114288   |  34067.3  |
| Ocak    | İç Anadolu | Ürün A |           413 |     316358 |         346933   |  76986.5  |
| Ocak    | İç Anadolu | Ürün B |           356 |      78320 |          77544.6 |  11955.8  |
| Ocak    | İç Anadolu | Ürün C |           138 |      71070 |          71969.6 |  16138.8  |
| Ocak    | İç Anadolu | Ürün D |           395 |     301780 |         285538   |  59814.3  |
| Ocak    | Karadeniz  | Ürün A |           493 |     322422 |         329515   | 102091    |
| Ocak    | Karadeniz  | Ürün B |            84 |      34020 |          33278.8 |   6342.93 |
| Ocak    | Karadeniz  | Ürün C |           437 |      87837 |          86522.2 |  16828.5  |
| Ocak    | Karadeniz  | Ürün D |           309 |     208884 |         228502   |  63715.2  |
| Şubat   | Marmara    | Ürün A |           211 |      84611 |          91292.3 |  22809.4  |
| Şubat   | Marmara    | Ürün B |           353 |     165910 |         152255   |  31389.6  |
| Şubat   | Marmara    | Ürün C |           239 |     118305 |         126457   |  35428.1  |
| Şubat   | Marmara    | Ürün D |           416 |     104832 |         106651   |  35962.7  |
| Şubat   | Ege        | Ürün A |           237 |     137223 |         131075   |  28714.6  |
| Şubat   | Ege        | Ürün B |           350 |      92400 |          83449   |  21684.5  |
| Şubat   | Ege        | Ürün C |           178 |     119438 |         107831   |  22665.6  |
| Şubat   | Ege        | Ürün D |           441 |     272538 |         287324   |  44916.7  |
| Şubat   | İç Anadolu | Ürün A |           280 |      67200 |          72777.1 |  21504.5  |
| Şubat   | İç Anadolu | Ürün B |           317 |      73544 |          67124.5 |  15605.8  |
| Şubat   | İç Anadolu | Ürün C |           265 |      78970 |          80412   |  16184.5  |
| Şubat   | İç Anadolu | Ürün D |            84 |      55524 |          59398.6 |  16343.3  |
| Şubat   | Karadeniz  | Ürün A |           304 |     181488 |         181263   |  46197.1  |
| Şubat   | Karadeniz  | Ürün B |            64 |      48192 |          47607.3 |   9173.05 |
| Şubat   | Karadeniz  | Ürün C |           401 |     176440 |         169889   |  44412.4  |
| Şubat   | Karadeniz  | Ürün D |           271 |     185364 |         176070   |  43018.6  |
| Mart    | Marmara    | Ürün A |           220 |     162800 |         153970   |  26926.5  |
| Mart    | Marmara    | Ürün B |           236 |     104312 |          97244.3 |  35042.5  |
| Mart    | Marmara    | Ürün C |            94 |      72662 |          74600.7 |  23563.7  |
| Mart    | Marmara    | Ürün D |            77 |      58135 |          57164.3 |  18990.1  |
| Mart    | Ege        | Ürün A |           177 |     124785 |         115353   |  27609.9  |
| Mart    | Ege        | Ürün B |           239 |     101336 |          96717.8 |  28327.3  |
| Mart    | Ege        | Ürün C |           170 |      77860 |          70182.3 |  19632.4  |
| Mart    | Ege        | Ürün D |           186 |      96162 |          90817.5 |  16729.6  |
| Mart    | İç Anadolu | Ürün A |           221 |     126633 |         119510   |  33129.8  |
| Mart    | İç Anadolu | Ürün B |           229 |      71448 |          65230.5 |  14345.5  |
| Mart    | İç Anadolu | Ürün C |           317 |     224753 |         233577   |  65729.9  |
